loan_id,customer_id,loan_amount,term_days,disbursement_date,interest_rate,repayment_schedule,customer_age,customer_gender,customer_region,employment_type,monthly_income,num_dependents,credit_score,previous_loans,previous_defaults,avg_days_late_prev,device_type,channel,debt_to_income,is_default_90d
LN106252,CUST200252,4466.85,90,27-04-2024 22:55,16.11,biweekly,34,male,east,self_employed,28521.29,0,,1,0,8.8,android,agent,0.157,0
LN104684,CUST204684,4224.07,60,23-05-2024 00:07,13.98,monthly,23,other,north,self_employed,50754.64,3,,2,0,0.3,ios,agent,0.083,0
LN101731,CUST201731,3137.31,60,13-09-2025 17:31,14.89,monthly,30,male,central,self_employed,5971.06,0,608.9316243,2,0,26.3,android,app,0.525,0
LN104742,CUST204742,10079.82,120,12-06-2024 10:42,13.17,monthly,42,female,central,salaried,9801.15,1,607.5550728,2,0,7.6,android,app,1.028,0
LN104521,CUST204521,17467.13,90,03-09-2024 20:35,13.05,biweekly,40,female,central,salaried,31310.45,1,,3,0,1.6,android,app,0.558,0
LN106340,CUST200340,2315.7,120,28-03-2025 16:55,19.69,monthly,27,female,east,salaried,13574.23,0,,1,0,0.5,android,branch,0.171,0
LN100576,CUST200576,4424.7,60,08-11-2023 20:30,18.02,monthly,34,male,east,salaried,21975,0,,2,0,3.9,ios,app,0.201,0
LN105202,CUST205202,17066.16,90,12-06-2024 21:46,18.7,weekly,52,male,central,informal,20155.22,2,,4,1,2.8,android,app,0.847,0
LN106363,CUST200363,5435.21,30,24-10-2024 12:13,29.39,monthly,34,male,west,salaried,36519.51,0,600.9236714,3,0,5.3,android,app,0.149,0
LN100439,CUST200439,8340.59,120,15-05-2024 21:40,13.35,monthly,33,male,east,informal,15540.78,4,731.1550426,2,0,2.9,android,agent,0.537,0
LN102750,CUST202750,6082.97,30,08-04-2024 22:36,12.94,monthly,40,female,north,self_employed,10295.09,0,667.100259,1,0,7.5,ios,branch,0.591,0
